@relation data__with_tab

@attribute Volt_X numeric
@attribute Curr_X numeric
@attribute Tem_X numeric
@attribute Lim_X numeric
@attribute Volt_Y numeric
@attribute Curr_Y numeric
@attribute Tem_Y numeric
@attribute Lim_Y numeric
@attribute Volt_Z numeric
@attribute Curr_Z numeric
@attribute Tem_Z numeric
@attribute Lim_Z numeric
@attribute Volt_Spdle numeric
@attribute Curr_Spdle numeric
@attribute Tem_Spdle numeric
@attribute Duty_Cycl_Spdle numeric
@attribute X_Over_Curr numeric
@attribute Y_Over_Curr numeric
@attribute Z_Over_Curr numeric
@attribute Spdle_Over_Curr numeric
@attribute X_Short_Cir numeric
@attribute Y_Short_Cir numeric
@attribute Z_Short_Cir numeric
@attribute Spdle_Short_Cir numeric
@attribute X_Lim_Fault numeric
@attribute Y_Lim_Fault numeric
@attribute Z_Lim_Fault numeric
@attribute Fault numeric

@data
17.97,0.94,26.5,0,17.91,1.11,26.5,0,17.76,0.92,26.5,0,0.63,1.52,65,90.5,0,0,0,0,0,0,0,1,0,0,0,1
17.8,1,26.5,0,17.85,1.79,26.5,0,17.66,1.01,26.5,0,0.56,1.53,65,90.5,0,0,0,0,0,0,0,1,0,0,0,1
17.68,1.14,26.5,0,17.72,0.92,26.5,0,17.83,1.29,26.5,0,0.55,1.48,65,90.5,0,0,0,0,0,0,0,1,0,0,0,1
17.71,0.95,26.5,0,18.35,1.46,26.5,0,17.63,0.91,26.5,0,0.56,1.5,65,90.5,0,0,0,0,0,0,0,1,0,0,0,1
17.64,0.99,26.5,0,17.79,0.95,26.5,0,17.76,1.2,26.5,0,0.59,1.51,65,90.5,0,0,0,0,0,0,0,1,0,0,0,1
17.61,0.96,26.5,0,17.87,0.96,26.5,0,18.04,0.95,26.5,0,0.69,1.51,65,90.5,0,0,0,0,0,0,0,1,0,0,0,1
17.65,1.07,26.5,0,17.61,1.14,26.5,0,17.79,1.11,26.5,0,0.57,1.52,65,90.5,0,0,0,0,0,0,0,1,0,0,0,1
17.97,0.92,26.5,0,17.62,0.95,26.5,0,17.77,1.09,26.5,0,0.58,1.48,65,90.5,0,0,0,0,0,0,0,1,0,0,0,1
17.62,0.98,26.5,0,17.63,0.94,26.5,0,17.69,1.15,26.5,0,0.58,1.49,65,90.5,0,0,0,0,0,0,0,1,0,0,0,1
17.68,0.99,26.5,0,18.19,1.02,26.5,0,17.78,0.92,26.5,0,0.58,1.5,55.5,90.5,0,0,0,0,0,0,0,1,0,0,0,1
18.01,0.94,26.5,0,17.69,1.05,26.5,0,17.61,1.01,26.5,0,0.57,1.49,55.5,90.5,0,0,0,0,0,0,0,1,0,0,0,1
17.72,0.99,26.5,0,17.79,0.97,26.5,0,17.69,0.96,26.5,0,0.57,1.38,55.5,90.5,0,0,0,0,0,0,0,1,0,0,0,1
17.71,1,26.5,0,17.67,0.93,26.5,0,17.91,1.01,26.5,0,0.57,1.51,55.5,90.5,0,0,0,0,0,0,0,1,0,0,0,1
